GLOBAL OPTIMUM SEARCH OF RE-EVALUATED BINARY ONEMAX
WITH ADDED POSTERIOR NOISE ~N(0, SIGMA)

NUMBER OF FITNESS EVALUATIONS FOR   (mu + 1)-EA

DATE:   2016-8-19 (year-month-day)
TIME:   14:44:32 (hour:min:sec)
SEED:   1

EXPERIMENTS PERFORMED ON:   MacBook Pro (13" Retina, Beginning 2015)
OPERATING SYSTEM:   Mac OS X Version 10.11.1
PROCESSOR:   2.7GHz dual-core Intel Core i5 (Turbo Boost up to 3.1GHz) with 3MB shared L3 cache
MEMORY:   8GB of 1866MHz LPDDR3

DIMENSION MU SIGMA N_RE_EVALUATIONS N_FITNESS_EVALUATIONS
100 6 3.1622776601683795 1 8402592
100 6 3.1622776601683795 1 1030740
100 6 3.1622776601683795 1 23487120
100 6 3.1622776601683795 1 14756052
100 6 3.1622776601683795 1 2089116
100 6 3.1622776601683795 1 4154346
100 6 3.1622776601683795 1 2018424
100 6 3.1622776601683795 1 30631908
100 6 3.1622776601683795 1 5262102
100 6 3.1622776601683795 1 23552436
100 6 3.1622776601683795 1 8244198
100 6 3.1622776601683795 1 5189820
100 6 3.1622776601683795 1 494550
100 6 3.1622776601683795 1 13492968
100 6 3.1622776601683795 1 35379108
100 6 3.1622776601683795 1 15748164
100 6 3.1622776601683795 1 3546402
100 6 3.1622776601683795 1 4781916
100 6 3.1622776601683795 1 4772034
100 6 3.1622776601683795 1 35602662
100 6 3.1622776601683795 1 8448222
100 6 3.1622776601683795 1 4467360
100 6 3.1622776601683795 1 81924
100 6 3.1622776601683795 1 9954798
100 6 3.1622776601683795 1 17095512
100 6 3.1622776601683795 1 24696756
100 6 3.1622776601683795 1 12247614
100 6 3.1622776601683795 1 11372436
100 6 3.1622776601683795 1 4348038
100 6 3.1622776601683795 1 2532174
100 6 3.1622776601683795 1 18564180
100 6 3.1622776601683795 1 30497160
100 6 3.1622776601683795 1 13901100
100 6 3.1622776601683795 1 6086826
100 6 3.1622776601683795 1 6998904
100 6 3.1622776601683795 1 221766
100 6 3.1622776601683795 1 20699664
100 6 3.1622776601683795 1 13308594
100 6 3.1622776601683795 1 13771986
100 6 3.1622776601683795 1 3912348
100 6 3.1622776601683795 1 4215264
100 6 3.1622776601683795 1 1865418
100 6 3.1622776601683795 1 20799000
100 6 3.1622776601683795 1 21980394
100 6 3.1622776601683795 1 5258688
100 6 3.1622776601683795 1 35079660
100 6 3.1622776601683795 1 3639576
100 6 3.1622776601683795 1 6470622
100 6 3.1622776601683795 1 13438380
100 6 3.1622776601683795 1 25818324
100 6 3.1622776601683795 1 8014632
100 6 3.1622776601683795 1 10638708
100 6 3.1622776601683795 1 49618314
100 6 3.1622776601683795 1 7134150
100 6 3.1622776601683795 1 25319526
100 6 3.1622776601683795 1 10858314
100 6 3.1622776601683795 1 343494
100 6 3.1622776601683795 1 17962158
100 6 3.1622776601683795 1 21323328
100 6 3.1622776601683795 1 15591540
100 6 3.1622776601683795 1 4843920
100 6 3.1622776601683795 1 1439634
100 6 3.1622776601683795 1 20580816
100 6 3.1622776601683795 1 11832714
100 6 3.1622776601683795 1 19577928
100 6 3.1622776601683795 1 2448624
100 6 3.1622776601683795 1 11998068
100 6 3.1622776601683795 1 1072686
100 6 3.1622776601683795 1 8029614
100 6 3.1622776601683795 1 12686316
100 6 3.1622776601683795 1 13313208
100 6 3.1622776601683795 1 1465044
100 6 3.1622776601683795 1 12404706
100 6 3.1622776601683795 1 5041050
100 6 3.1622776601683795 1 5470278
100 6 3.1622776601683795 1 36492486
100 6 3.1622776601683795 1 10339830
100 6 3.1622776601683795 1 7522800
100 6 3.1622776601683795 1 7186596
100 6 3.1622776601683795 1 40722684
100 6 3.1622776601683795 1 2033286
100 6 3.1622776601683795 1 4478088
100 6 3.1622776601683795 1 5272152
100 6 3.1622776601683795 1 1436160
100 6 3.1622776601683795 1 15841590
100 6 3.1622776601683795 1 4077828
100 6 3.1622776601683795 1 8761752
100 6 3.1622776601683795 1 5269470
100 6 3.1622776601683795 1 1845792
100 6 3.1622776601683795 1 868914
100 6 3.1622776601683795 1 12253884
100 6 3.1622776601683795 1 1625628
100 6 3.1622776601683795 1 9995166
100 6 3.1622776601683795 1 3967602
100 6 3.1622776601683795 1 52599246
100 6 3.1622776601683795 1 1099368
100 6 3.1622776601683795 1 7900710
100 6 3.1622776601683795 1 15330510
100 6 3.1622776601683795 1 10797210
100 6 3.1622776601683795 1 6452820
