SEARCHING FOR GLOBAL MAX/MIN OF RE-EVALUATED BINARY ONEMAX
WITH ADDED POSTERIOR NOISE ~N(0, SIGMA)

NUMBER OF FITNESS EVALUATIONS FOR   GA

DATE:   2015-11-27 (year-month-day)
TIME:   12:15:36 (hour:min:sec)
SEED:   1

EXPERIMENTS PERFORMED ON:   MacBook Pro (13" Retina, Beginning 2015)
OPERATING SYSTEM:   Mac OS X Version 10.11.1
PROCESSOR:   2.7GHz dual-core Intel Core i5 (Turbo Boost up to 3.1GHz) with 3MB shared L3 cache
MEMORY:   8GB of 1866MHz LPDDR3

DIMENSION MU SIGMA N_RE_EVALUATIONS N_FITNESS_EVALUATIONS
100 5 3.1622776601683795 1 1080825
100 5 3.1622776601683795 1 4073705
100 5 3.1622776601683795 1 793890
100 5 3.1622776601683795 1 163245
100 5 3.1622776601683795 1 459820
100 5 3.1622776601683795 1 2353585
100 5 3.1622776601683795 1 2789645
100 5 3.1622776601683795 1 660825
100 5 3.1622776601683795 1 832940
100 5 3.1622776601683795 1 2896550
100 5 3.1622776601683795 1 1193400
100 5 3.1622776601683795 1 867140
100 5 3.1622776601683795 1 2162180
100 5 3.1622776601683795 1 3364990
100 5 3.1622776601683795 1 2648610
100 5 3.1622776601683795 1 611260
100 5 3.1622776601683795 1 62360
100 5 3.1622776601683795 1 2137805
100 5 3.1622776601683795 1 4385285
100 5 3.1622776601683795 1 1908500
100 5 3.1622776601683795 1 2083895
100 5 3.1622776601683795 1 2033850
100 5 3.1622776601683795 1 2459840
100 5 3.1622776601683795 1 4368320
100 5 3.1622776601683795 1 1441700
100 5 3.1622776601683795 1 1514955
100 5 3.1622776601683795 1 1830520
100 5 3.1622776601683795 1 800620
100 5 3.1622776601683795 1 3085395
100 5 3.1622776601683795 1 1468560
100 5 3.1622776601683795 1 1487715
100 5 3.1622776601683795 1 896650
100 5 3.1622776601683795 1 947610
100 5 3.1622776601683795 1 1442190
100 5 3.1622776601683795 1 1627425
100 5 3.1622776601683795 1 429295
100 5 3.1622776601683795 1 480340
100 5 3.1622776601683795 1 795860
100 5 3.1622776601683795 1 51925
100 5 3.1622776601683795 1 610560
100 5 3.1622776601683795 1 1691850
100 5 3.1622776601683795 1 1652620
100 5 3.1622776601683795 1 793030
100 5 3.1622776601683795 1 77820
100 5 3.1622776601683795 1 3377720
100 5 3.1622776601683795 1 6687550
100 5 3.1622776601683795 1 192980
100 5 3.1622776601683795 1 6206245
100 5 3.1622776601683795 1 1647060
100 5 3.1622776601683795 1 1079990
100 5 3.1622776601683795 1 557025
100 5 3.1622776601683795 1 3584650
100 5 3.1622776601683795 1 4887345
100 5 3.1622776601683795 1 66390
100 5 3.1622776601683795 1 290725
100 5 3.1622776601683795 1 875755
100 5 3.1622776601683795 1 1680680
100 5 3.1622776601683795 1 479575
100 5 3.1622776601683795 1 1762815
100 5 3.1622776601683795 1 11521270
100 5 3.1622776601683795 1 10405500
100 5 3.1622776601683795 1 2155675
100 5 3.1622776601683795 1 4166615
100 5 3.1622776601683795 1 494880
100 5 3.1622776601683795 1 1958145
100 5 3.1622776601683795 1 771415
100 5 3.1622776601683795 1 458075
100 5 3.1622776601683795 1 4017430
100 5 3.1622776601683795 1 577755
100 5 3.1622776601683795 1 2415365
100 5 3.1622776601683795 1 1188485
100 5 3.1622776601683795 1 882080
100 5 3.1622776601683795 1 452820
100 5 3.1622776601683795 1 936940
100 5 3.1622776601683795 1 2345760
100 5 3.1622776601683795 1 401995
100 5 3.1622776601683795 1 492970
100 5 3.1622776601683795 1 1233045
100 5 3.1622776601683795 1 1256690
100 5 3.1622776601683795 1 1588970
100 5 3.1622776601683795 1 111990
100 5 3.1622776601683795 1 349480
100 5 3.1622776601683795 1 568890
100 5 3.1622776601683795 1 2074475
100 5 3.1622776601683795 1 2647060
100 5 3.1622776601683795 1 2016010
100 5 3.1622776601683795 1 2264225
100 5 3.1622776601683795 1 67245
100 5 3.1622776601683795 1 3203275
100 5 3.1622776601683795 1 1594765
100 5 3.1622776601683795 1 1068310
100 5 3.1622776601683795 1 62305
100 5 3.1622776601683795 1 4738520
100 5 3.1622776601683795 1 130285
100 5 3.1622776601683795 1 2237670
100 5 3.1622776601683795 1 190640
100 5 3.1622776601683795 1 2373725
100 5 3.1622776601683795 1 1069990
100 5 3.1622776601683795 1 2364110
100 5 3.1622776601683795 1 2094255
100 6 3.1622776601683795 1 105282
100 6 3.1622776601683795 1 341244
