K RUNTIME
50 1466
50 1644
50 1688
50 1572
50 1506
50 1636
50 100000
50 100000
50 1484
50 100000
50 1340
50 1572
50 1588
50 1710
50 1324
50 1464
50 1444
50 1680
50 100000
50 1820
50 1662
50 1342
50 1650
50 1752
50 1448
50 1820
50 1546
50 100000
50 1946
50 100000
50 1520
50 100000
50 1494
50 1376
50 1610
50 100000
50 100000
50 1682
50 1702
50 100000
50 1568
50 1424
50 1650
50 1432
50 1572
50 1368
50 100000
50 1582
50 100000
50 1582
50 1342
50 1790
50 1476
50 1676
50 1718
50 1432
50 1416
50 1466
50 100000
50 1420
50 1698
50 1560
50 100000
50 100000
50 1750
50 100000
50 1594
50 100000
50 100000
50 1716
50 1418
50 1662
50 100000
50 1574
50 100000
50 1600
50 1304
50 1746
50 1388
50 2028
50 1574
50 1642
50 1370
50 1412
50 100000
50 1856
50 100000
50 1534
50 100000
50 1580
50 1594
50 1502
50 100000
50 100000
50 1696
50 1436
50 100000
50 1384
50 100000
50 100000
50 1702
50 1476
50 1492
50 1520
50 1598
50 1530
50 1650
50 1602
50 1544
50 1474
50 1482
50 1578
50 1770
50 1740
50 100000
50 1470
50 1586
50 1676
50 100000
50 1410
50 1462
50 1438
50 1694
50 1556
50 1540
50 1706
50 1490
50 1718
50 1628
50 100000
50 1582
50 1654
50 1564
50 1544
50 1572
50 100000
50 1660
50 1598
50 1512
50 100000
50 100000
50 100000
50 100000
50 1410
50 1530
50 100000
50 1708
50 1582
50 1462
50 100000
50 1724
50 1728
50 1544
50 100000
50 100000
50 1806
50 1490
50 1780
50 1336
50 100000
50 1558
50 1842
50 1674
50 1588
50 1980
50 100000
50 1432
50 1508
50 1534
50 1368
50 1766
50 1614
50 100000
50 1330
50 1524
50 1454
50 1564
50 1716
50 1782
50 1684
50 1774
50 1496
50 100000
50 1504
50 100000
50 1810
50 1762
50 1740
50 100000
50 1636
50 100000
50 1654
50 1534
50 1868
50 1560
50 1526
50 1446
50 1710
50 100000
50 100000
50 1334
50 1622
50 1550
50 1580
50 1594
50 1520
50 1708
50 1522
50 100000
50 1838
50 1534
50 1650
50 100000
50 1530
50 1472
50 100000
50 1348
50 1550
50 100000
50 1526
50 1626
50 1382
50 1392
50 1626
50 1498
50 1924
50 1632
50 1724
50 1592
50 100000
50 1516
50 100000
50 1564
50 1642
50 100000
50 1484
50 100000
50 1348
50 100000
50 1290
50 100000
50 1456
50 1554
50 1610
50 100000
50 1564
50 1496
50 1360
50 1686
50 1328
50 1438
50 100000
50 100000
50 100000
50 1460
50 100000
50 100000
50 100000
50 100000
50 1444
50 1726
50 1676
50 1492
50 1534
50 1512
50 1770
50 1562
50 1776
50 1764
50 1560
50 1500
50 1816
50 100000
50 1636
50 1746
50 1222
50 1316
50 100000
50 1622
50 1580
50 1468
50 1580
50 100000
50 1680
50 100000
50 1244
50 1460
50 1520
50 1892
50 1472
50 1358
50 1774
50 1496
50 1674
50 1430
50 1342
50 1256
50 1628
50 1528
50 100000
50 1606
50 1622
50 100000
50 1408
50 1740
50 100000
50 1466
50 100000
50 1558
50 1730
50 1588
50 1680
50 100000
50 1546
50 100000
50 1574
50 1742
50 1822
50 1320
50 100000
50 1734
50 1478
50 1580
50 100000
50 1652
50 100000
50 100000
50 1494
50 100000
50 100000
50 1490
50 1654
50 100000
50 1674
50 1666
50 1418
50 1632
50 1578
50 100000
50 1178
50 1454
50 1742
50 1498
50 100000
50 1698
50 1708
50 1430
50 1540
50 1298
50 100000
50 1840
50 1550
50 1536
50 1564
50 1912
50 1446
50 100000
50 1294
50 1724
50 100000
50 1548
50 1614
50 1578
50 1344
50 100000
50 1424
50 1766
50 1614
50 1542
50 1388
50 1524
50 100000
50 1788
50 1636
50 1514
50 1352
50 1464
50 1458
50 1500
50 1520
50 1378
50 1552
50 1552
50 1676
50 100000
50 1678
50 100000
50 1594
50 1568
50 1574
50 1474
50 1482
50 1346
50 1420
50 1642
50 100000
50 1686
50 1486
50 1630
50 1930
50 1530
50 1396
50 100000
50 1454
50 100000
50 1542
50 1598
50 1518
50 1610
50 1732
50 1240
50 100000
50 1610
50 1482
50 1558
50 100000
50 1706
50 1588
50 100000
50 100000
50 1436
50 100000
50 1540
50 1544
50 1522
50 1788
50 1486
50 1440
50 1478
50 1528
50 1438
50 1458
50 1484
50 1436
50 100000
50 1634
50 1490
50 1674
50 100000
50 1630
50 1510
50 1446
50 1478
50 100000
50 1610
50 1400
50 1602
50 1544
50 1814
50 1692
50 1514
50 100000
50 1560
50 1616
50 100000
50 1612
50 100000
50 1930
50 1418
50 100000
50 1902
50 100000
50 1404
50 1752
50 1666
50 1702
50 1934
50 1666
50 100000
50 1398
50 100000
50 1822
50 100000
50 100000
50 1898
50 100000
50 100000
50 100000
50 100000
50 100000
50 100000
50 100000
50 100000
50 100000
50 100000
50 1530
50 1418
50 1720
50 1672
50 100000
50 1510
50 1482
50 1440
50 1488
50 1416
50 1622
50 1880
50 1578
50 1490
50 1720
50 100000
50 1696
50 1516
50 1516
50 100000
50 1548
50 1680
50 1324
50 1650
50 1490
50 1756
50 1712
50 1434
50 1512
50 1504
50 1616
50 1636
50 1324
50 1522
50 1500
50 1598
50 1936
50 100000
50 1480
50 1488
50 100000
50 100000
50 1592
50 1778
50 1680
50 1824
50 1674
50 1668
50 1458
50 100000
50 100000
50 1368
50 1584
50 1654
50 1554
50 1610
50 100000
50 100000
50 100000
50 1666
50 1642
50 1626
50 1644
50 1508
50 100000
50 1610
50 1458
50 100000
50 1518
50 100000
50 1544
50 1668
50 1588
50 100000
50 1736
50 100000
50 1798
50 100000
50 1676
50 1632
50 1578
50 1638
50 1662
50 1252
50 1526
50 1360
50 1618
50 1926
50 100000
50 100000
50 1278
50 1368
50 1646
50 1694
50 100000
50 1754
50 1732
50 1564
50 1490
50 1574
50 1454
50 1558
50 1434
