GLOBAL OPTIMUM SEARCH OF RE-EVALUATED BINARY ONEMAX
WITH ADDED POSTERIOR NOISE ~N(0, SIGMA)

NUMBER OF FITNESS EVALUATIONS FOR   (mu + 1)-EA

DATE:   2015-12-3 (year-month-day)
TIME:   9:44:3 (hour:min:sec)
SEED:   1

EXPERIMENTS PERFORMED ON:   MacBook Pro (13" Retina, Beginning 2015)
OPERATING SYSTEM:   Mac OS X Version 10.11.1
PROCESSOR:   2.7GHz dual-core Intel Core i5 (Turbo Boost up to 3.1GHz) with 3MB shared L3 cache
MEMORY:   8GB of 1866MHz LPDDR3

DIMENSION MU SIGMA N_RE_EVALUATIONS N_FITNESS_EVALUATIONS
100 12 10 3 12356496
100 12 10 3 171969264
100 12 10 3 26329824
100 12 10 3 150911820
100 12 10 3 45641736
100 12 10 3 42059592
100 12 10 3 444416148
100 12 10 3 103333140
100 12 10 3 20714760
100 12 10 3 142021656
100 12 10 3 69398820
100 12 10 3 37407924
100 12 10 3 5236380
100 12 10 3 504893160
100 12 10 3 128102868
100 12 10 3 298057860
100 12 10 3 46995732
100 12 10 3 194688720
100 12 10 3 42514740
100 12 10 3 41817888
100 12 10 3 280294596
100 12 10 3 123882012
100 12 10 3 39658140
100 12 10 3 112028256
100 12 10 3 58690188
100 12 10 3 301000932
100 12 10 3 82549368
100 12 10 3 120434544
100 12 10 3 2648520
100 12 10 3 13616028
100 12 10 3 174094668
100 12 10 3 45666756
100 12 10 3 24848640
100 12 10 3 133083324
100 12 10 3 104681376
100 12 10 3 67138236
100 12 10 3 16208100
100 12 10 3 146158272
100 12 10 3 54388404
100 12 10 3 29629764
100 12 10 3 265707648
100 12 10 3 4480920
100 12 10 3 66197808
100 12 10 3 166841712
100 12 10 3 173173608
100 12 10 3 74619864
100 12 10 3 24268824
100 12 10 3 47304936
100 12 10 3 7948044
100 12 10 3 47741400
100 12 10 3 5381460
100 12 10 3 90934308
100 12 10 3 14205276
100 12 10 3 37926540
100 12 10 3 882864
100 12 10 3 59055264
100 12 10 3 132488280
100 12 10 3 45508644
100 12 10 3 148289508
100 12 10 3 160565256
100 12 10 3 32866560
100 12 10 3 185595156
100 12 10 3 252179604
100 12 10 3 191360880
100 12 10 3 242501184
100 12 10 3 45604476
100 12 10 3 6694020
100 12 10 3 37056672
100 12 10 3 170282988
100 12 10 3 46151208
100 12 10 3 17885088
100 12 10 3 163349172
100 12 10 3 2261304
100 12 10 3 412482456
100 12 10 3 79769412
100 12 10 3 111301560
100 12 10 3 148660812
100 12 10 3 38272032
100 12 10 3 82208520
100 12 10 3 19227888
100 12 10 3 189637992
100 12 10 3 264798468
100 12 10 3 58490316
100 12 10 3 41375664
100 12 10 3 32145156
100 12 10 3 40885920
100 12 10 3 79508088
100 12 10 3 67478004
100 12 10 3 31374396
100 12 10 3 68020956
100 12 10 3 28546344
100 12 10 3 156431988
100 12 10 3 207487188
100 12 10 3 57940884
100 12 10 3 72527328
100 12 10 3 28154772
100 12 10 3 42781068
100 12 10 3 205504488
100 12 10 3 97020432
100 12 10 3 3428640
100 12 10 4 1284576
100 12 10 4 7345296
100 12 10 4 15631968
100 12 10 4 20085120
100 12 10 4 12851088
100 12 10 4 34401840
100 12 10 4 35487168
100 12 10 4 5075568
100 12 10 4 9527376
100 12 10 4 28789536
100 12 10 4 22330272
100 12 10 4 43814832
100 12 10 4 36246288
100 12 10 4 5138496
100 12 10 4 27444096
100 12 10 4 9438384
100 12 10 4 71804976
100 12 10 4 15253392
100 12 10 4 338928
100 12 10 4 5086128
100 12 10 4 7828800
100 12 10 4 16186704
100 12 10 4 3415152
100 12 10 4 23968800
100 12 10 4 36444288
100 12 10 4 21397296
100 12 10 4 6014784
100 12 10 4 3336720
100 12 10 4 15457872
100 12 10 4 8755728
100 12 10 4 50862672
100 12 10 4 23054448
100 12 10 4 3964176
100 12 10 4 7792320
100 12 10 4 32439552
100 12 10 4 5176560
100 12 10 4 8850096
100 12 10 4 22074528
100 12 10 4 8476224
100 12 10 4 16177968
100 12 10 4 22214304
100 12 10 4 24314064
100 12 10 4 545616
100 12 10 4 54083232
100 12 10 4 10153536
100 12 10 4 19988160
100 12 10 4 26589072
100 12 10 4 1667136
100 12 10 4 6990000
100 12 10 4 15014832
100 12 10 4 7447632
100 12 10 4 25580592
100 12 10 4 24045312
100 12 10 4 8944128
100 12 10 4 8266896
100 12 10 4 2910096
100 12 10 4 21523488
100 12 10 4 4889040
