GLOBAL OPTIMUM SEARCH OF RE-EVALUATED BINARY ONEMAX
WITH ADDED POSTERIOR NOISE ~N(0, SIGMA)

NUMBER OF FITNESS EVALUATIONS FOR   (mu + 1)-GA

DATE:   2015-11-27 (year-month-day)
TIME:   15:41:8 (hour:min:sec)
SEED:   1

EXPERIMENTS PERFORMED ON:   MacBook Pro (13" Retina, Beginning 2015)
OPERATING SYSTEM:   Mac OS X Version 10.11.1
PROCESSOR:   2.7GHz dual-core Intel Core i5 (Turbo Boost up to 3.1GHz) with 3MB shared L3 cache
MEMORY:   8GB of 1866MHz LPDDR3

DIMENSION MU SIGMA N_RE_EVALUATIONS N_FITNESS_EVALUATIONS
100 10 10 3 2064900
100 10 10 3 427020
100 10 10 3 2601330
100 10 10 3 3249390
100 10 10 3 490170
100 10 10 3 810570
100 10 10 3 94260
100 10 10 3 5669370
100 10 10 3 938460
100 10 10 3 261570
100 10 10 3 733230
100 10 10 3 2613540
100 10 10 3 1422930
100 10 10 3 4856940
100 10 10 3 2953050
100 10 10 3 4414770
100 10 10 3 3217920
100 10 10 3 397410
100 10 10 3 2978670
100 10 10 3 1382550
100 10 10 3 1343760
100 10 10 3 1393650
100 10 10 3 254610
100 10 10 3 214050
100 10 10 3 2903670
100 10 10 3 511410
100 10 10 3 2101830
100 10 10 3 9358020
100 10 10 3 1096020
100 10 10 3 1129380
100 10 10 3 2263080
100 10 10 3 2982510
100 10 10 3 1646340
100 10 10 3 2777220
100 10 10 3 3379560
100 10 10 3 1753350
100 10 10 3 2959740
100 10 10 3 1892310
100 10 10 3 999810
100 10 10 3 910740
100 10 10 3 5368050
100 10 10 3 724680
100 10 10 3 874950
100 10 10 3 396330
100 10 10 3 2188230
100 10 10 3 1950450
100 10 10 3 2593500
100 10 10 3 282450
100 10 10 3 199500
100 10 10 3 972930
100 10 10 3 501720
100 10 10 3 425640
100 10 10 3 1225710
100 10 10 3 569460
100 10 10 3 190200
100 10 10 3 1738440
100 10 10 3 4301880
100 10 10 3 1642740
100 10 10 3 1736280
100 10 10 3 1023960
100 10 10 3 1581810
100 10 10 3 3270630
100 10 10 3 2278110
100 10 10 3 5969490
100 10 10 3 3427320
100 10 10 3 2022870
100 10 10 3 4866150
100 10 10 3 1609380
100 10 10 3 264480
100 10 10 3 245700
100 10 10 3 839850
100 10 10 3 1693170
100 10 10 3 1534260
100 10 10 3 260310
100 10 10 3 491610
100 10 10 3 3473790
100 10 10 3 449340
100 10 10 3 1852320
100 10 10 3 527370
100 10 10 3 4425540
100 10 10 3 1440330
100 10 10 3 1080930
100 10 10 3 1012020
100 10 10 3 6955770
100 10 10 3 1206330
100 10 10 3 559290
100 10 10 3 1043220
100 10 10 3 166860
100 10 10 3 1561080
100 10 10 3 2325990
100 10 10 3 1541640
100 10 10 3 294840
100 10 10 3 75120
100 10 10 3 882810
100 10 10 3 2694180
100 10 10 3 526470
100 10 10 3 1444020
100 10 10 3 971010
100 10 10 3 88560
100 10 10 3 1318020
100 10 10 4 591280
100 10 10 4 1168560
100 10 10 4 698680
100 10 10 4 338000
100 10 10 4 226400
100 10 10 4 809760
100 10 10 4 246400
100 10 10 4 1982600
100 10 10 4 842440
100 10 10 4 417680
100 10 10 4 1386640
100 10 10 4 1048960
100 10 10 4 627200
100 10 10 4 388240
100 10 10 4 2022200
100 10 10 4 917320
100 10 10 4 119160
100 10 10 4 331680
100 10 10 4 277440
100 10 10 4 375280
100 10 10 4 1055080
100 10 10 4 213880
100 10 10 4 1154120
100 10 10 4 350520
100 10 10 4 1141080
100 10 10 4 251160
100 10 10 4 882000
100 10 10 4 1607560
100 10 10 4 437560
100 10 10 4 565360
100 10 10 4 219200
100 10 10 4 324760
100 10 10 4 329400
100 10 10 4 833160
100 10 10 4 510640
100 10 10 4 562600
100 10 10 4 334640
100 10 10 4 642080
100 10 10 4 999320
100 10 10 4 2052720
100 10 10 4 667640
100 10 10 4 208520
100 10 10 4 822320
100 10 10 4 1206480
100 10 10 4 895880
100 10 10 4 668840
100 10 10 4 1545760
100 10 10 4 377320
100 10 10 4 375760
100 10 10 4 1227880
100 10 10 4 265360
100 10 10 4 252320
100 10 10 4 345720
100 10 10 4 448040
100 10 10 4 439640
100 10 10 4 402920
100 10 10 4 129640
100 10 10 4 308080
100 10 10 4 244600
100 10 10 4 596800
100 10 10 4 586320
100 10 10 4 627600
100 10 10 4 285040
100 10 10 4 761240
100 10 10 4 127560
100 10 10 4 1157400
