GLOBAL OPTIMUM SEARCH OF RE-EVALUATED BINARY ONEMAX
WITH ADDED POSTERIOR NOISE ~N(0, SIGMA)

NUMBER OF FITNESS EVALUATIONS FOR   MMASib

DATE:   2015-12-4 (year-month-day)
TIME:   16:6:29 (hour:min:sec)
SEED:   1

EXPERIMENTS PERFORMED ON:   MacBook Pro (13" Retina, Beginning 2015)
OPERATING SYSTEM:   Mac OS X Version 10.11.1
PROCESSOR:   2.7GHz dual-core Intel Core i5 (Turbo Boost up to 3.1GHz) with 3MB shared L3 cache
MEMORY:   8GB of 1866MHz LPDDR3

DIMENSION N_ANTS EVAPORATION SIGMA N_RE_EVALUATIONS N_FITNESS_EVALUATIONS
100 5 0.045 10 1 14900
100 5 0.045 10 1 14180
100 5 0.045 10 1 19990
100 5 0.045 10 1 15310
100 5 0.045 10 1 13785
100 5 0.045 10 1 22575
100 5 0.045 10 1 24630
100 5 0.045 10 1 13260
100 5 0.045 10 1 20655
100 5 0.045 10 1 22225
100 5 0.045 10 1 20780
100 5 0.045 10 1 17475
100 5 0.045 10 1 19015
100 5 0.045 10 1 11715
100 5 0.045 10 1 25530
100 5 0.045 10 1 18790
100 5 0.045 10 1 23030
100 5 0.045 10 1 23155
100 5 0.045 10 1 42520
100 5 0.045 10 1 20485
100 5 0.045 10 1 14295
100 5 0.045 10 1 20615
100 5 0.045 10 1 35155
100 5 0.045 10 1 16620
100 5 0.045 10 1 10485
100 5 0.045 10 1 27350
100 5 0.045 10 1 50180
100 5 0.045 10 1 21400
100 5 0.045 10 1 29820
100 5 0.045 10 1 16050
100 5 0.045 10 1 7945
100 5 0.045 10 1 11125
100 5 0.045 10 1 8110
100 5 0.045 10 1 22255
100 5 0.045 10 1 13705
100 5 0.045 10 1 23610
100 5 0.045 10 1 22105
100 5 0.045 10 1 12890
100 5 0.045 10 1 14660
100 5 0.045 10 1 13825
100 5 0.045 10 1 21810
100 5 0.045 10 1 31680
100 5 0.045 10 1 20720
100 5 0.045 10 1 25070
100 5 0.045 10 1 16445
100 5 0.045 10 1 14125
100 5 0.045 10 1 19690
100 5 0.045 10 1 31225
100 5 0.045 10 1 39650
100 5 0.045 10 1 33015
100 5 0.045 10 1 30355
100 5 0.045 10 1 11100
100 5 0.045 10 1 25930
100 5 0.045 10 1 18940
100 5 0.045 10 1 15155
100 5 0.045 10 1 28700
100 5 0.045 10 1 12985
100 5 0.045 10 1 18590
100 5 0.045 10 1 19070
100 5 0.045 10 1 26055
100 5 0.045 10 1 21015
100 5 0.045 10 1 10550
100 5 0.045 10 1 17750
100 5 0.045 10 1 9520
100 5 0.045 10 1 12665
100 5 0.045 10 1 58335
100 5 0.045 10 1 40075
100 5 0.045 10 1 16650
100 5 0.045 10 1 14350
100 5 0.045 10 1 27345
100 5 0.045 10 1 17650
100 5 0.045 10 1 18690
100 5 0.045 10 1 16460
100 5 0.045 10 1 20805
100 5 0.045 10 1 29010
100 5 0.045 10 1 11020
100 5 0.045 10 1 26335
100 5 0.045 10 1 14610
100 5 0.045 10 1 17560
100 5 0.045 10 1 40445
100 5 0.045 10 1 12555
100 5 0.045 10 1 17705
100 5 0.045 10 1 22310
100 5 0.045 10 1 32330
100 5 0.045 10 1 27910
100 5 0.045 10 1 41845
100 5 0.045 10 1 14370
100 5 0.045 10 1 20780
100 5 0.045 10 1 17685
100 5 0.045 10 1 17275
100 5 0.045 10 1 23505
100 5 0.045 10 1 22505
100 5 0.045 10 1 23515
100 5 0.045 10 1 7455
100 5 0.045 10 1 12855
100 5 0.045 10 1 8790
100 5 0.045 10 1 32190
100 5 0.045 10 1 31290
100 5 0.045 10 1 48765
100 5 0.045 10 1 18725
100 5 0.045 10 2 9760
100 5 0.045 10 2 14920
100 5 0.045 10 2 20420
100 5 0.045 10 2 19890
100 5 0.045 10 2 27040
100 5 0.045 10 2 19700
100 5 0.045 10 2 17300
100 5 0.045 10 2 27700
100 5 0.045 10 2 12100
100 5 0.045 10 2 53510
100 5 0.045 10 2 12790
100 5 0.045 10 2 18160
100 5 0.045 10 2 12060
100 5 0.045 10 2 16630
100 5 0.045 10 2 13190
100 5 0.045 10 2 13420
100 5 0.045 10 2 21120
100 5 0.045 10 2 9110
100 5 0.045 10 2 12020
100 5 0.045 10 2 15680
100 5 0.045 10 2 7960
100 5 0.045 10 2 12840
100 5 0.045 10 2 28750
100 5 0.045 10 2 11840
100 5 0.045 10 2 28510
100 5 0.045 10 2 11930
100 5 0.045 10 2 11690
100 5 0.045 10 2 19070
100 5 0.045 10 2 38870
100 5 0.045 10 2 19510
100 5 0.045 10 2 23070
100 5 0.045 10 2 11150
100 5 0.045 10 2 13240
100 5 0.045 10 2 18410
100 5 0.045 10 2 14920
100 5 0.045 10 2 16570
100 5 0.045 10 2 12050
100 5 0.045 10 2 19740
100 5 0.045 10 2 19560
100 5 0.045 10 2 18080
100 5 0.045 10 2 10610
100 5 0.045 10 2 27180
100 5 0.045 10 2 17980
100 5 0.045 10 2 12710
100 5 0.045 10 2 17910
100 5 0.045 10 2 9410
100 5 0.045 10 2 10980
100 5 0.045 10 2 21490
100 5 0.045 10 2 20510
100 5 0.045 10 2 22960
100 5 0.045 10 2 9950
