GLOBAL OPTIMUM SEARCH OF RE-EVALUATED BINARY ONEMAX
WITH ADDED POSTERIOR NOISE ~N(0, SIGMA)

NUMBER OF FITNESS EVALUATIONS FOR   cGA

DATE:   2016-1-8 (year-month-day)
TIME:   8:32:18 (hour:min:sec)
SEED:   1

EXPERIMENTS PERFORMED ON:   MacBook Pro (13" Retina, Beginning 2015)
OPERATING SYSTEM:   Mac OS X Version 10.11.1
PROCESSOR:   2.7GHz dual-core Intel Core i5 (Turbo Boost up to 3.1GHz) with 3MB shared L3 cache
MEMORY:   8GB of 1866MHz LPDDR3

DIMENSION K SIGMA N_RE_EVALUATIONS N_FITNESS_EVALUATIONS
100 25 10 1 174
100 25 10 1 160
100 25 10 1 338
100 25 10 1 160
100 25 10 1 412
100 25 10 1 160
100 25 10 1 198
100 25 10 1 280
100 25 10 1 200
100 25 10 1 370
100 25 10 1 180
100 25 10 1 158
100 25 10 1 68
100 25 10 1 88
100 25 10 1 440
100 25 10 1 206
100 25 10 1 412
100 25 10 1 194
100 25 10 1 80
100 25 10 1 184
100 25 10 1 132
100 25 10 1 168
100 25 10 1 162
100 25 10 1 118
100 25 10 1 622
100 25 10 1 378
100 25 10 1 214
100 25 10 1 326
100 25 10 1 324
100 25 10 1 82
100 25 10 1 254
100 25 10 1 596
100 25 10 1 110
100 25 10 1 374
100 25 10 1 354
100 25 10 1 404
100 25 10 1 404
100 25 10 1 234
100 25 10 1 218
100 25 10 1 224
100 25 10 1 818
100 25 10 1 132
100 25 10 1 250
100 25 10 1 444
100 25 10 1 106
100 25 10 1 774
100 25 10 1 530
100 25 10 1 142
100 25 10 1 734
100 25 10 1 84
100 25 10 1 68
100 25 10 1 102
100 25 10 1 452
100 25 10 1 110
100 25 10 1 460
100 25 10 1 702
100 25 10 1 506
100 25 10 1 386
100 25 10 1 322
100 25 10 1 440
100 25 10 1 230
100 25 10 1 490
100 25 10 1 184
100 25 10 1 102
100 25 10 1 350
100 25 10 1 402
100 25 10 1 412
100 25 10 1 488
100 25 10 1 180
100 25 10 1 120
100 25 10 1 874
100 25 10 1 508
100 25 10 1 688
100 25 10 1 136
100 25 10 1 206
100 25 10 1 340
100 25 10 1 400
100 25 10 1 202
100 25 10 1 64
100 25 10 1 286
100 25 10 1 290
100 25 10 1 166
100 25 10 1 156
100 25 10 1 580
100 25 10 1 104
100 25 10 1 418
100 25 10 1 776
100 25 10 1 290
100 25 10 1 178
100 25 10 1 316
100 25 10 1 114
100 25 10 1 1268
100 25 10 1 338
100 25 10 1 136
100 25 10 1 56
100 25 10 1 434
100 25 10 1 180
100 25 10 1 322
100 25 10 1 344
100 25 10 1 278
100 25 10 2 252
100 25 10 2 216
100 25 10 2 1348
100 25 10 2 216
100 25 10 2 864
100 25 10 2 392
100 25 10 2 684
100 25 10 2 264
100 25 10 2 512
100 25 10 2 652
100 25 10 2 776
100 25 10 2 596
100 25 10 2 392
100 25 10 2 352
100 25 10 2 788
100 25 10 2 500
100 25 10 2 268
100 25 10 2 208
100 25 10 2 288
100 25 10 2 880
100 25 10 2 252
100 25 10 2 856
100 25 10 2 364
100 25 10 2 556
100 25 10 2 560
100 25 10 2 252
100 25 10 2 912
100 25 10 2 764
100 25 10 2 240
100 25 10 2 820
100 25 10 2 176
100 25 10 2 496
100 25 10 2 824
100 25 10 2 580
100 25 10 2 204
100 25 10 2 844
100 25 10 2 520
100 25 10 2 312
100 25 10 2 588
100 25 10 2 376
100 25 10 2 1224
100 25 10 2 324
100 25 10 2 512
100 25 10 2 188
100 25 10 2 576
100 25 10 2 780
100 25 10 2 1016
100 25 10 2 204
100 25 10 2 608
100 25 10 2 604
100 25 10 2 824
100 25 10 2 1268
100 25 10 2 612
100 25 10 2 436
100 25 10 2 708
100 25 10 2 464
100 25 10 2 744
100 25 10 2 348
100 25 10 2 232
100 25 10 2 308
100 25 10 2 1524
100 25 10 2 432
100 25 10 2 228
100 25 10 2 240
100 25 10 2 436
100 25 10 2 228
100 25 10 2 432
100 25 10 2 832
100 25 10 2 296
100 25 10 2 728
100 25 10 2 1200
100 25 10 2 816
100 25 10 2 232
100 25 10 2 892
100 25 10 2 912
100 25 10 2 468
100 25 10 2 596
100 25 10 2 336
100 25 10 2 496
100 25 10 2 832
100 25 10 2 436
100 25 10 2 544
100 25 10 2 408
100 25 10 2 672
100 25 10 2 88
100 25 10 2 932
100 25 10 2 660
100 25 10 2 344
100 25 10 2 196
100 25 10 2 704
100 25 10 2 788
100 25 10 2 744
100 25 10 2 468
100 25 10 2 204
100 25 10 2 472
100 25 10 2 236
100 25 10 2 820
100 25 10 2 540
100 25 10 2 532
100 25 10 2 444
100 25 10 3 570
100 25 10 3 588
100 25 10 3 1362
100 25 10 3 288
100 25 10 3 2442
100 25 10 3 780
100 25 10 3 732
100 25 10 3 696
100 25 10 3 510
100 25 10 3 1188
100 25 10 3 1284
100 25 10 3 906
100 25 10 3 678
100 25 10 3 864
100 25 10 3 264
100 25 10 3 882
100 25 10 3 612
100 25 10 3 522
100 25 10 3 408
100 25 10 3 264
100 25 10 3 864
100 25 10 3 378
100 25 10 3 1488
100 25 10 3 462
100 25 10 3 1092
100 25 10 3 264
100 25 10 3 1086
100 25 10 3 1308
100 25 10 3 1302
100 25 10 3 828
100 25 10 3 1356
100 25 10 3 720
100 25 10 3 444
100 25 10 3 948
100 25 10 3 366
100 25 10 3 714
100 25 10 3 1092
100 25 10 3 756
100 25 10 3 510
100 25 10 3 1554
100 25 10 3 318
100 25 10 3 372
100 25 10 3 342
100 25 10 3 576
100 25 10 3 1320
100 25 10 3 1704
100 25 10 3 510
100 25 10 3 564
100 25 10 3 408
100 25 10 3 420
100 25 10 3 1770
100 25 10 3 822
100 25 10 3 588
100 25 10 3 1332
100 25 10 3 2376
100 25 10 3 402
100 25 10 3 582
100 25 10 3 1650
100 25 10 3 1194
100 25 10 3 744
100 25 10 3 618
100 25 10 3 2052
100 25 10 3 1218
100 25 10 3 1032
100 25 10 3 1056
100 25 10 3 1026
100 25 10 3 1032
100 25 10 3 1158
100 25 10 3 1014
100 25 10 3 1464
100 25 10 3 1476
100 25 10 3 996
100 25 10 3 528
100 25 10 3 1368
100 25 10 3 648
100 25 10 3 708
100 25 10 3 168
100 25 10 3 306
100 25 10 3 1500
100 25 10 3 1662
100 25 10 3 1050
100 25 10 3 1536
100 25 10 3 294
100 25 10 3 288
100 25 10 3 516
100 25 10 3 744
100 25 10 3 780
100 25 10 3 654
100 25 10 3 1200
100 25 10 3 510
100 25 10 3 1806
100 25 10 3 468
100 25 10 3 702
100 25 10 3 438
100 25 10 3 168
100 25 10 3 1374
100 25 10 3 336
100 25 10 3 1044
100 25 10 3 1146
100 25 10 3 468
100 25 10 4 1560
100 25 10 4 1416
100 25 10 4 1464
100 25 10 4 968
100 25 10 4 1280
100 25 10 4 648
100 25 10 4 904
100 25 10 4 856
100 25 10 4 1208
100 25 10 4 352
100 25 10 4 1168
100 25 10 4 1656
100 25 10 4 960
100 25 10 4 424
100 25 10 4 528
100 25 10 4 1144
100 25 10 4 1952
100 25 10 4 1056
100 25 10 4 1056
100 25 10 4 1096
100 25 10 4 1152
100 25 10 4 736
100 25 10 4 1280
100 25 10 4 1448
100 25 10 4 1792
100 25 10 4 1312
100 25 10 4 864
100 25 10 4 1376
100 25 10 4 576
100 25 10 4 976
100 25 10 4 392
100 25 10 4 1456
100 25 10 4 1088
100 25 10 4 1536
100 25 10 4 1712
100 25 10 4 1104
100 25 10 4 2096
100 25 10 4 2032
100 25 10 4 1312
100 25 10 4 3144
100 25 10 4 1008
100 25 10 4 736
100 25 10 4 1432
100 25 10 4 1176
100 25 10 4 768
100 25 10 4 2096
100 25 10 4 760
100 25 10 4 624
100 25 10 4 1080
100 25 10 4 880
100 25 10 4 1568
100 25 10 4 680
100 25 10 4 704
100 25 10 4 1648
100 25 10 4 704
100 25 10 4 440
100 25 10 4 864
100 25 10 4 968
100 25 10 4 800
100 25 10 4 488
100 25 10 4 1024
100 25 10 4 936
100 25 10 4 336
100 25 10 4 656
100 25 10 4 1776
100 25 10 4 792
100 25 10 4 1016
100 25 10 4 2712
100 25 10 4 1464
100 25 10 4 1352
100 25 10 4 872
100 25 10 4 768
100 25 10 4 528
100 25 10 4 1560
100 25 10 4 752
100 25 10 4 984
100 25 10 4 1648
100 25 10 4 896
100 25 10 4 744
100 25 10 4 616
100 25 10 4 1272
100 25 10 4 1144
100 25 10 4 672
100 25 10 4 736
100 25 10 4 1216
100 25 10 4 1640
100 25 10 4 496
100 25 10 4 952
100 25 10 4 768
100 25 10 4 648
100 25 10 4 456
100 25 10 4 1672
100 25 10 4 744
100 25 10 4 1800
100 25 10 4 1592
100 25 10 4 1296
100 25 10 4 648
100 25 10 4 1672
100 25 10 4 464
100 25 10 4 328
100 25 10 5 790
100 25 10 5 1840
100 25 10 5 1170
100 25 10 5 790
100 25 10 5 480
100 25 10 5 440
100 25 10 5 1450
100 25 10 5 1800
100 25 10 5 1090
100 25 10 5 1460
100 25 10 5 560
100 25 10 5 1870
100 25 10 5 510
100 25 10 5 1240
100 25 10 5 3220
100 25 10 5 2520
100 25 10 5 1140
100 25 10 5 4230
100 25 10 5 2830
100 25 10 5 970
100 25 10 5 1320
100 25 10 5 500
100 25 10 5 1190
100 25 10 5 890
100 25 10 5 1960
100 25 10 5 1580
100 25 10 5 1250
100 25 10 5 4320
100 25 10 5 3200
100 25 10 5 430
100 25 10 5 1390
100 25 10 5 2400
100 25 10 5 630
100 25 10 5 2620
100 25 10 5 2460
100 25 10 5 1180
100 25 10 5 1820
100 25 10 5 850
100 25 10 5 1090
100 25 10 5 1740
100 25 10 5 1220
100 25 10 5 1940
100 25 10 5 1380
100 25 10 5 1500
100 25 10 5 2050
100 25 10 5 810
100 25 10 5 1420
100 25 10 5 1450
100 25 10 5 1000
100 25 10 5 480
100 25 10 5 640
100 25 10 5 770
100 25 10 5 720
100 25 10 5 630
100 25 10 5 1170
100 25 10 5 930
100 25 10 5 1590
100 25 10 5 1830
100 25 10 5 1220
100 25 10 5 1200
100 25 10 5 740
100 25 10 5 550
100 25 10 5 1430
100 25 10 5 2080
100 25 10 5 860
100 25 10 5 1740
100 25 10 5 1540
100 25 10 5 1490
100 25 10 5 1400
100 25 10 5 1310
100 25 10 5 1000
100 25 10 5 1650
100 25 10 5 3170
100 25 10 5 1060
100 25 10 5 290
100 25 10 5 3100
100 25 10 5 560
100 25 10 5 3390
100 25 10 5 850
100 25 10 5 420
100 25 10 5 1240
100 25 10 5 1510
100 25 10 5 640
100 25 10 5 730
100 25 10 5 760
100 25 10 5 480
100 25 10 5 1500
100 25 10 5 1300
100 25 10 5 1000
100 25 10 5 2250
100 25 10 5 1410
100 25 10 5 510
100 25 10 5 950
100 25 10 5 1220
100 25 10 5 480
100 25 10 5 1620
100 25 10 5 1800
100 25 10 5 1910
100 25 10 5 1040
100 25 10 5 1040
100 25 10 6 3780
100 25 10 6 2244
100 25 10 6 1320
100 25 10 6 2160
100 25 10 6 1788
100 25 10 6 1920
100 25 10 6 960
100 25 10 6 2028
100 25 10 6 2352
100 25 10 6 1332
100 25 10 6 1200
100 25 10 6 924
100 25 10 6 876
100 25 10 6 1752
100 25 10 6 1488
100 25 10 6 1728
100 25 10 6 1776
100 25 10 6 768
100 25 10 6 564
