GLOBAL OPTIMUM SEARCH OF RE-EVALUATED BINARY ONEMAX
WITH ADDED POSTERIOR NOISE ~N(0, SIGMA)

NUMBER OF FITNESS EVALUATIONS FOR   EA

DATE:   2015-12-22 (year-month-day)
TIME:   23:23:19 (hour:min:sec)
SEED:   1

EXPERIMENTS PERFORMED ON:   MacBook Pro (13" Retina, Beginning 2015)
OPERATING SYSTEM:   Mac OS X Version 10.11.1
PROCESSOR:   2.7GHz dual-core Intel Core i5 (Turbo Boost up to 3.1GHz) with 3MB shared L3 cache
MEMORY:   8GB of 1866MHz LPDDR3

DIMENSION SIGMA N_RE_EVALUATIONS OPTIMAL_MU N_FITNESS_EVALUATIONS
100 0 1 2 2788
100 0.197642 1 3 4425
100 0.395285 1 4 6278
100 0.592927 1 3 5389
100 0.790569 1 5 9807
100 0.988212 1 4 9322
100 1.18585 1 6 15414
100 1.3835 1 6 18806
100 1.58114 1 6 21908
100 1.77878 1 7 28203
100 1.97642 1 8 33092
100 2.17407 1 9 40098
100 2.37171 1 10 48277
100 2.56935 1 10 53951
100 2.76699 1 13 70475
100 2.96464 1 11 86193
100 3.16228 1 15 92733
100 3.35992 1 14 108499
100 3.55756 1 16 113988
100 3.7552 1 18 141543
100 3.95285 1 18 154399
100 4.15049 1 20 181143
100 4.34813 1 19 207985
100 4.54577 1 22 233772
100 4.74342 1 22 261448
100 4.94106 1 21 268653
100 5.1387 1 25 317152
100 5.33634 1 28 364197
100 5.53399 1 28 384529
100 5.73163 1 28 439602
100 5.92927 1 32 478758
100 6.12691 1 30 520500
100 6.32456 1 34 548044
100 6.5222 1 37 593836
100 6.71984 1 36 643851
100 6.91748 1 37 721155
100 7.11512 1 39 770354
100 7.31277 1 37 775012
100 7.51041 1 40 900246
100 7.70805 1 42 1026495
100 7.90569 1 44 1050388
100 8.10334 1 47 1070928
100 8.30098 1 48 1329791
100 8.49862 1 46 1184631
100 8.69626 1 46 1645082
100 8.89391 1 50 1591511
100 9.09155 1 50 1606271
100 9.28919 1 53 1732347
100 9.48683 1 52 1951967
100 9.68448 1 56 2150697
100 9.88212 1 54 2563121
