GLOBAL OPTIMUM SEARCH OF RE-EVALUATED BINARY ONEMAX
WITH ADDED POSTERIOR NOISE ~N(0, SIGMA)

NUMBER OF FITNESS EVALUATIONS FOR   GA

DATE:   2016-1-4 (year-month-day)
TIME:   15:44:32 (hour:min:sec)
SEED:   1

EXPERIMENTS PERFORMED ON:   MacBook Pro (13" Retina, Beginning 2015)
OPERATING SYSTEM:   Mac OS X Version 10.11.1
PROCESSOR:   2.7GHz dual-core Intel Core i5 (Turbo Boost up to 3.1GHz) with 3MB shared L3 cache
MEMORY:   8GB of 1866MHz LPDDR3

DIMENSION SIGMA N_RE_EVALUATIONS OPTIMAL_MU N_FITNESS_EVALUATIONS
100 0 1 2 2658
100 0.19764235376052372 1 2 2524
100 0.39528470752104744 1 2 2639
100 0.59292706128157113 1 2 4087
100 0.79056941504209488 1 3 5156
100 0.98821176880261863 1 4 6731
100 1.1858541225631423 1 4 9102
100 1.3834964763236659 1 5 10263
100 1.5811388300841895 1 6 11717
100 1.7787811838447132 1 7 13501
100 1.9764235376052368 1 8 16973
100 2.1740658913657605 1 8 17001
100 2.3717082451262841 1 8 18967
100 2.5693505988868077 1 9 22327
100 2.7669929526473314 1 9 25274
100 2.964635306407855 1 10 28422
100 3.1622776601683786 1 9 32029
100 3.3599200139289023 1 10 30818
100 3.5575623676894259 1 12 32716
100 3.7552047214499495 1 11 36421
100 3.9528470752104732 1 12 38901
100 4.1504894289709968 1 14 41067
100 4.3481317827315209 1 13 46343
100 4.545774136492045 1 14 46626
100 4.7434164902525691 1 14 52388
100 4.9410588440130931 1 15 53057
100 5.1387011977736172 1 18 56904
100 5.3363435515341413 1 16 60083
100 5.5339859052946654 1 18 62589
100 5.7316282590551895 1 18 66903
100 5.9292706128157135 1 20 73932
100 6.1269129665762376 1 18 71705
100 6.3245553203367617 1 19 76823
100 6.5221976740972858 1 21 80150
100 6.7198400278578099 1 18 87239
100 6.917482381618334 1 17 90978
100 7.115124735378858 1 21 90745
100 7.3127670891393821 1 20 95629
100 7.5104094428999062 1 22 100059
100 7.7080517966604303 1 24 104876
100 7.9056941504209544 1 25 109616
100 8.1033365041814776 1 26 113049
100 8.3009788579420007 1 25 114097
100 8.4986212117025239 1 25 121543
100 8.6962635654630471 1 25 118216
100 8.8939059192235703 1 27 126813
100 9.0915482729840935 1 29 135396
100 9.2891906267446167 1 28 138852
100 9.4868329805051399 1 27 136543
100 9.6844753342656631 1 34 148781
100 9.8821176880261863 1 31 151520
