GLOBAL OPTIMUM SEARCH OF RE-EVALUATED BINARY ONEMAX
WITH ADDED POSTERIOR NOISE ~N(0, SIGMA)

NUMBER OF FITNESS EVALUATIONS FOR   (mu + 1)-EA

DATE:   2015-12-25 (year-month-day)
TIME:   10:2:29 (hour:min:sec)
SEED:   1

EXPERIMENTS PERFORMED ON:   MacBook Pro (13" Retina, Beginning 2015)
OPERATING SYSTEM:   Mac OS X Version 10.11.1
PROCESSOR:   2.7GHz dual-core Intel Core i5 (Turbo Boost up to 3.1GHz) with 3MB shared L3 cache
MEMORY:   8GB of 1866MHz LPDDR3

DIMENSION MU SIGMA N_RE_EVALUATIONS N_FITNESS_EVALUATIONS
100 12 0 10 247680
100 12 0 10 275040
100 12 0 10 210840
100 12 0 10 208200
100 12 0 10 304200
100 12 0 10 289800
100 12 0 10 317640
100 12 0 10 284280
100 12 0 10 289920
100 12 0 10 284640
100 12 0 10 219360
100 12 0 10 229920
100 12 0 10 232560
100 12 0 10 336960
100 12 0 10 178560
100 12 0 10 332280
100 12 0 10 228720
100 12 0 10 240120
100 12 0 10 249360
100 12 0 10 240960
100 12 0 10 294480
100 12 0 10 239280
100 12 0 10 237360
100 12 0 10 217680
100 12 0 10 255960
100 12 0 10 290520
100 12 0 10 410760
100 12 0 10 250320
100 12 0 10 213240
100 12 0 10 274440
100 12 0 10 248400
100 12 0 10 368640
100 12 0 10 257520
100 12 0 10 299160
100 12 0 10 245160
100 12 0 10 245280
100 12 0 10 240720
100 12 0 10 274440
100 12 0 10 242160
100 12 0 10 341880
100 12 0 10 271080
100 12 0 10 306840
100 12 0 10 298680
100 12 0 10 385080
100 12 0 10 305760
100 12 0 10 221400
100 12 0 10 270840
100 12 0 10 211320
100 12 0 10 369120
100 12 0 10 254040
100 12 0 10 210120
100 12 0 10 269880
100 12 0 10 260760
100 12 0 10 277920
100 12 0 10 319800
100 12 0 10 335280
100 12 0 10 277560
100 12 0 10 249480
100 12 0 10 188640
100 12 0 10 257400
100 12 0 10 173520
100 12 0 10 282600
100 12 0 10 215880
100 12 0 10 262800
100 12 0 10 303720
100 12 0 10 237000
100 12 0 10 270480
100 12 0 10 256440
100 12 0 10 254040
100 12 0 10 220440
100 12 0 10 305160
100 12 0 10 237120
100 12 0 10 211680
100 12 0 10 170160
100 12 0 10 315240
100 12 0 10 345960
100 12 0 10 197640
100 12 0 10 266280
100 12 0 10 275280
100 12 0 10 241560
100 12 0 10 201840
100 12 0 10 220200
100 12 0 10 326880
100 12 0 10 335760
100 12 0 10 352440
100 12 0 10 308040
100 12 0 10 294000
100 12 0 10 246840
100 12 0 10 227400
100 12 0 10 242640
100 12 1.5811388300841898 10 249720
100 12 1.5811388300841898 10 232440
100 12 1.5811388300841898 10 203160
100 12 1.5811388300841898 10 286800
100 12 1.5811388300841898 10 249240
100 12 1.5811388300841898 10 230040
100 12 1.5811388300841898 10 272640
100 12 1.5811388300841898 10 248760
100 12 1.5811388300841898 10 227400
100 12 1.5811388300841898 10 300840
100 12 1.5811388300841898 10 243120
100 12 1.5811388300841898 10 265680
100 12 1.5811388300841898 10 212760
100 12 1.5811388300841898 10 243960
100 12 1.5811388300841898 10 407160
100 12 1.5811388300841898 10 217560
100 12 1.5811388300841898 10 359520
100 12 1.5811388300841898 10 355080
100 12 1.5811388300841898 10 273600
100 12 1.5811388300841898 10 279840
100 12 1.5811388300841898 10 299040
100 12 1.5811388300841898 10 341640
100 12 1.5811388300841898 10 215520
100 12 1.5811388300841898 10 217200
100 12 1.5811388300841898 10 312000
100 12 1.5811388300841898 10 216120
100 12 1.5811388300841898 10 234960
100 12 1.5811388300841898 10 224280
100 12 1.5811388300841898 10 266040
100 12 1.5811388300841898 10 236640
100 12 1.5811388300841898 10 229320
100 12 1.5811388300841898 10 205680
100 12 1.5811388300841898 10 236760
100 12 1.5811388300841898 10 263880
100 12 1.5811388300841898 10 319200
100 12 1.5811388300841898 10 208200
100 12 1.5811388300841898 10 172200
100 12 1.5811388300841898 10 249960
100 12 1.5811388300841898 10 230280
100 12 1.5811388300841898 10 210840
100 12 1.5811388300841898 10 350880
100 12 1.5811388300841898 10 206040
100 12 1.5811388300841898 10 274080
100 12 1.5811388300841898 10 371640
100 12 1.5811388300841898 10 258600
100 12 1.5811388300841898 10 350400
100 12 1.5811388300841898 10 246480
100 12 1.5811388300841898 10 311880
100 12 1.5811388300841898 10 280200
100 12 1.5811388300841898 10 257520
