GLOBAL OPTIMUM SEARCH OF RE-EVALUATED BINARY ONEMAX
WITH ADDED POSTERIOR NOISE ~N(0, SIGMA)

NUMBER OF FITNESS EVALUATIONS FOR   (mu + 1)-GA

DATE:   2015-12-25 (year-month-day)
TIME:   23:56:10 (hour:min:sec)
SEED:   1

EXPERIMENTS PERFORMED ON:   MacBook Pro (13" Retina, Beginning 2015)
OPERATING SYSTEM:   Mac OS X Version 10.11.1
PROCESSOR:   2.7GHz dual-core Intel Core i5 (Turbo Boost up to 3.1GHz) with 3MB shared L3 cache
MEMORY:   8GB of 1866MHz LPDDR3

DIMENSION MU SIGMA N_RE_EVALUATIONS N_FITNESS_EVALUATIONS
100 10 0 10 119300
100 10 0 10 102200
100 10 0 10 112200
100 10 0 10 136600
100 10 0 10 110800
100 10 0 10 116500
100 10 0 10 127400
100 10 0 10 107500
100 10 0 10 87700
100 10 0 10 195900
100 10 0 10 110600
100 10 0 10 152300
100 10 0 10 170500
100 10 0 10 138300
100 10 0 10 127200
100 10 0 10 105200
100 10 0 10 148600
100 10 0 10 140800
100 10 0 10 122600
100 10 0 10 105500
100 10 0 10 67400
100 10 0 10 133000
100 10 0 10 112900
100 10 0 10 109300
100 10 0 10 104700
100 10 0 10 146700
100 10 0 10 91700
100 10 0 10 166300
100 10 0 10 80800
100 10 0 10 175100
100 10 0 10 80500
100 10 0 10 118700
100 10 0 10 102100
100 10 0 10 88400
100 10 0 10 170100
100 10 0 10 100500
100 10 0 10 118000
100 10 0 10 126400
100 10 0 10 103600
100 10 0 10 105200
100 10 0 10 131400
100 10 0 10 182600
100 10 0 10 212800
100 10 0 10 155000
100 10 0 10 144900
100 10 0 10 101000
100 10 0 10 100300
100 10 0 10 147600
100 10 0 10 132900
100 10 0 10 137900
100 10 0 10 97900
100 10 0 10 123100
100 10 0 10 121500
100 10 0 10 168300
100 10 0 10 125200
100 10 0 10 220400
100 10 0 10 116100
100 10 0 10 144800
100 10 0 10 82200
100 10 0 10 126500
100 10 0 10 116300
100 10 0 10 100900
100 10 0 10 95000
100 10 0 10 109600
100 10 0 10 131000
100 10 0 10 118800
100 10 0 10 84600
100 10 0 10 113800
100 10 0 10 161000
100 10 0 10 93400
100 10 0 10 125900
100 10 0 10 104400
100 10 0 10 106100
100 10 0 10 87400
100 10 0 10 103900
100 10 0 10 84900
100 10 0 10 113900
100 10 0 10 103100
100 10 0 10 100500
100 10 0 10 127400
100 10 0 10 137000
100 10 0 10 91300
100 10 0 10 125500
100 10 0 10 127200
100 10 0 10 107800
100 10 0 10 157300
100 10 0 10 128500
100 10 0 10 114900
100 10 0 10 135800
100 10 0 10 87400
100 10 1.5811388300841898 10 110900
100 10 1.5811388300841898 10 202200
100 10 1.5811388300841898 10 112500
100 10 1.5811388300841898 10 104400
100 10 1.5811388300841898 10 111700
100 10 1.5811388300841898 10 121400
100 10 1.5811388300841898 10 91300
100 10 1.5811388300841898 10 128300
100 10 1.5811388300841898 10 71900
100 10 1.5811388300841898 10 120200
100 10 1.5811388300841898 10 147100
100 10 1.5811388300841898 10 104500
100 10 1.5811388300841898 10 114400
100 10 1.5811388300841898 10 98700
100 10 1.5811388300841898 10 113700
100 10 1.5811388300841898 10 116500
100 10 1.5811388300841898 10 160400
100 10 1.5811388300841898 10 231600
100 10 1.5811388300841898 10 167700
100 10 1.5811388300841898 10 170500
100 10 1.5811388300841898 10 84500
100 10 1.5811388300841898 10 101700
100 10 1.5811388300841898 10 88500
100 10 1.5811388300841898 10 106600
100 10 1.5811388300841898 10 120400
100 10 1.5811388300841898 10 180900
100 10 1.5811388300841898 10 93400
100 10 1.5811388300841898 10 155100
100 10 1.5811388300841898 10 116900
100 10 1.5811388300841898 10 111100
100 10 1.5811388300841898 10 119300
100 10 1.5811388300841898 10 191400
100 10 1.5811388300841898 10 113100
100 10 1.5811388300841898 10 158100
100 10 1.5811388300841898 10 114700
100 10 1.5811388300841898 10 100500
100 10 1.5811388300841898 10 94600
100 10 1.5811388300841898 10 106300
100 10 1.5811388300841898 10 87500
100 10 1.5811388300841898 10 154000
100 10 1.5811388300841898 10 183300
100 10 1.5811388300841898 10 99600
100 10 1.5811388300841898 10 84000
100 10 1.5811388300841898 10 123100
100 10 1.5811388300841898 10 70800
100 10 1.5811388300841898 10 130300
100 10 1.5811388300841898 10 148300
100 10 1.5811388300841898 10 118700
100 10 1.5811388300841898 10 95900
100 10 1.5811388300841898 10 70900
