GLOBAL OPTIMUM SEARCH OF RE-EVALUATED BINARY ONEMAX
WITH ADDED POSTERIOR NOISE ~N(0, SIGMA)

NUMBER OF FITNESS EVALUATIONS FOR   MMASib

DATE:   2015-12-27 (year-month-day)
TIME:   18:24:20 (hour:min:sec)
SEED:   1

EXPERIMENTS PERFORMED ON:   MacBook Pro (13" Retina, Beginning 2015)
OPERATING SYSTEM:   Mac OS X Version 10.11.1
PROCESSOR:   2.7GHz dual-core Intel Core i5 (Turbo Boost up to 3.1GHz) with 3MB shared L3 cache
MEMORY:   8GB of 1866MHz LPDDR3

DIMENSION N_ANTS EVAPORATION SIGMA N_RE_EVALUATIONS N_FITNESS_EVALUATIONS
100 5 0.045 0 10 12700
100 5 0.045 0 10 12900
100 5 0.045 0 10 11050
100 5 0.045 0 10 13600
100 5 0.045 0 10 14250
100 5 0.045 0 10 11350
100 5 0.045 0 10 11750
100 5 0.045 0 10 12650
100 5 0.045 0 10 17250
100 5 0.045 0 10 13400
100 5 0.045 0 10 13600
100 5 0.045 0 10 13450
100 5 0.045 0 10 15300
100 5 0.045 0 10 12700
100 5 0.045 0 10 14100
100 5 0.045 0 10 16650
100 5 0.045 0 10 12350
100 5 0.045 0 10 11650
100 5 0.045 0 10 12600
100 5 0.045 0 10 17350
100 5 0.045 0 10 15800
100 5 0.045 0 10 12350
100 5 0.045 0 10 11650
100 5 0.045 0 10 12500
100 5 0.045 0 10 14300
100 5 0.045 0 10 11350
100 5 0.045 0 10 12600
100 5 0.045 0 10 10600
100 5 0.045 0 10 12950
100 5 0.045 0 10 12050
100 5 0.045 0 10 13350
100 5 0.045 0 10 13850
100 5 0.045 0 10 13350
100 5 0.045 0 10 12750
100 5 0.045 0 10 12500
100 5 0.045 0 10 13300
100 5 0.045 0 10 15400
100 5 0.045 0 10 15150
100 5 0.045 0 10 13350
100 5 0.045 0 10 13550
100 5 0.045 0 10 13200
100 5 0.045 0 10 11850
100 5 0.045 0 10 12300
100 5 0.045 0 10 11850
100 5 0.045 0 10 11850
100 5 0.045 0 10 11950
100 5 0.045 0 10 14000
100 5 0.045 0 10 12400
100 5 0.045 0 10 11400
100 5 0.045 0 10 11050
100 5 0.045 0 10 12600
100 5 0.045 0 10 12400
100 5 0.045 0 10 13000
100 5 0.045 0 10 13400
100 5 0.045 0 10 12500
100 5 0.045 0 10 12500
100 5 0.045 0 10 10450
100 5 0.045 0 10 13700
100 5 0.045 0 10 13100
100 5 0.045 0 10 17350
100 5 0.045 0 10 11550
100 5 0.045 0 10 12200
100 5 0.045 0 10 11600
100 5 0.045 0 10 12700
100 5 0.045 0 10 13300
100 5 0.045 0 10 13900
100 5 0.045 0 10 14550
100 5 0.045 0 10 14100
100 5 0.045 0 10 16500
100 5 0.045 0 10 11800
100 5 0.045 0 10 13950
100 5 0.045 0 10 13650
100 5 0.045 0 10 17400
100 5 0.045 0 10 13550
100 5 0.045 0 10 12700
100 5 0.045 0 10 13050
100 5 0.045 0 10 13450
100 5 0.045 0 10 10950
100 5 0.045 0 10 13550
100 5 0.045 0 10 12750
100 5 0.045 0 10 13050
100 5 0.045 0 10 12750
100 5 0.045 0 10 12300
100 5 0.045 0 10 14300
100 5 0.045 0 10 13000
100 5 0.045 0 10 11750
100 5 0.045 0 10 12950
100 5 0.045 0 10 14250
100 5 0.045 0 10 12350
100 5 0.045 0 10 12200
100 5 0.045 1.5811388300841898 10 14300
100 5 0.045 1.5811388300841898 10 11950
100 5 0.045 1.5811388300841898 10 18200
100 5 0.045 1.5811388300841898 10 11450
100 5 0.045 1.5811388300841898 10 11200
100 5 0.045 1.5811388300841898 10 16300
100 5 0.045 1.5811388300841898 10 12750
100 5 0.045 1.5811388300841898 10 13300
100 5 0.045 1.5811388300841898 10 13250
100 5 0.045 1.5811388300841898 10 13450
100 5 0.045 1.5811388300841898 10 12100
100 5 0.045 1.5811388300841898 10 13950
100 5 0.045 1.5811388300841898 10 14100
100 5 0.045 1.5811388300841898 10 13050
100 5 0.045 1.5811388300841898 10 10250
100 5 0.045 1.5811388300841898 10 14250
100 5 0.045 1.5811388300841898 10 13400
100 5 0.045 1.5811388300841898 10 13450
100 5 0.045 1.5811388300841898 10 13400
100 5 0.045 1.5811388300841898 10 11100
100 5 0.045 1.5811388300841898 10 10900
100 5 0.045 1.5811388300841898 10 13200
100 5 0.045 1.5811388300841898 10 12000
100 5 0.045 1.5811388300841898 10 13600
100 5 0.045 1.5811388300841898 10 13750
100 5 0.045 1.5811388300841898 10 12900
100 5 0.045 1.5811388300841898 10 11500
100 5 0.045 1.5811388300841898 10 14300
100 5 0.045 1.5811388300841898 10 15450
100 5 0.045 1.5811388300841898 10 10950
100 5 0.045 1.5811388300841898 10 13100
100 5 0.045 1.5811388300841898 10 13300
100 5 0.045 1.5811388300841898 10 13550
100 5 0.045 1.5811388300841898 10 11200
100 5 0.045 1.5811388300841898 10 12800
100 5 0.045 1.5811388300841898 10 13500
100 5 0.045 1.5811388300841898 10 12350
100 5 0.045 1.5811388300841898 10 12050
100 5 0.045 1.5811388300841898 10 13600
100 5 0.045 1.5811388300841898 10 14100
100 5 0.045 1.5811388300841898 10 12400
100 5 0.045 1.5811388300841898 10 15250
