GLOBAL OPTIMUM SEARCH OF RE-EVALUATED BINARY ONEMAX
WITH ADDED POSTERIOR NOISE ~N(0, SIGMA)

NUMBER OF FITNESS EVALUATIONS FOR   cGA

DATE:   2016-1-8 (year-month-day)
TIME:   8:47:3 (hour:min:sec)
SEED:   1

EXPERIMENTS PERFORMED ON:   MacBook Pro (13" Retina, Beginning 2015)
OPERATING SYSTEM:   Mac OS X Version 10.11.1
PROCESSOR:   2.7GHz dual-core Intel Core i5 (Turbo Boost up to 3.1GHz) with 3MB shared L3 cache
MEMORY:   8GB of 1866MHz LPDDR3

DIMENSION K SIGMA N_RE_EVALUATIONS N_FITNESS_EVALUATIONS
100 25 0 10 1740
100 25 0 10 2100
100 25 0 10 2880
100 25 0 10 1600
100 25 0 10 2820
100 25 0 10 1280
100 25 0 10 880
100 25 0 10 1640
100 25 0 10 2140
100 25 0 10 1700
100 25 0 10 2000
100 25 0 10 3700
100 25 0 10 1800
100 25 0 10 2240
100 25 0 10 5340
100 25 0 10 2980
100 25 0 10 1620
100 25 0 10 2300
100 25 0 10 2140
100 25 0 10 1720
100 25 0 10 1180
100 25 0 10 3460
100 25 0 10 1180
100 25 0 10 3520
100 25 0 10 2680
100 25 0 10 1280
100 25 0 10 1640
100 25 0 10 2980
100 25 0 10 2160
100 25 0 10 4000
100 25 0 10 880
100 25 0 10 2100
100 25 0 10 2780
100 25 0 10 2820
100 25 0 10 3500
100 25 0 10 2820
100 25 0 10 3120
100 25 0 10 2860
100 25 0 10 1180
100 25 0 10 1760
100 25 0 10 2240
100 25 0 10 2340
100 25 0 10 940
100 25 0 10 3020
100 25 0 10 1100
100 25 0 10 900
100 25 0 10 3400
100 25 0 10 1160
100 25 0 10 1700
100 25 0 10 640
100 25 0 10 2300
100 25 0 10 5620
100 25 0 10 1020
100 25 0 10 7780
100 25 0 10 5300
100 25 0 10 1420
100 25 0 10 2960
100 25 0 10 1520
100 25 0 10 2820
100 25 0 10 1540
100 25 0 10 1020
100 25 0 10 4520
100 25 0 10 2000
100 25 0 10 2120
100 25 0 10 660
100 25 0 10 2080
100 25 0 10 2620
100 25 0 10 3180
100 25 0 10 4440
100 25 0 10 3940
100 25 0 10 5440
100 25 0 10 2720
100 25 0 10 2100
100 25 0 10 2980
100 25 0 10 1340
100 25 0 10 1520
100 25 0 10 2100
100 25 0 10 2660
100 25 0 10 1920
100 25 0 10 2920
100 25 0 10 2180
100 25 0 10 3040
100 25 0 10 3020
100 25 0 10 2540
100 25 0 10 2840
100 25 0 10 5840
100 25 0 10 6340
100 25 0 10 4180
100 25 0 10 2680
100 25 0 10 2820
100 25 10 10 4020
100 25 10 10 980
100 25 10 10 3880
100 25 10 10 860
100 25 10 10 920
100 25 10 10 2460
100 25 10 10 3300
100 25 10 10 1660
100 25 10 10 4140
100 25 10 10 3220
100 25 10 10 2060
100 25 10 10 2340
100 25 10 10 3640
100 25 10 10 4780
100 25 10 10 3040
100 25 10 10 1780
100 25 10 10 3000
100 25 10 10 3280
100 25 10 10 4240
100 25 10 10 4520
100 25 10 10 1900
100 25 10 10 3380
100 25 10 10 1740
100 25 10 10 4520
100 25 10 10 1840
100 25 10 10 940
100 25 10 10 2240
100 25 10 10 2760
100 25 10 10 2440
100 25 10 10 4540
100 25 10 10 5260
100 25 10 10 2620
100 25 10 10 4160
100 25 10 10 1060
100 25 10 10 2760
100 25 10 10 1820
100 25 10 10 1340
100 25 10 10 1060
100 25 10 10 2920
100 25 10 10 2500
100 25 10 10 3660
100 25 10 10 2220
100 25 10 10 3200
100 25 10 10 3420
100 25 10 10 1520
100 25 10 10 2000
100 25 10 10 1360
100 25 10 10 1440
100 25 10 10 3460
100 25 10 10 2200
100 25 10 10 2840
100 25 10 10 2160
100 25 10 10 1080
100 25 10 10 2240
100 25 10 10 2040
100 25 10 10 2020
100 25 10 10 3520
100 25 10 10 1560
100 25 10 10 3820
100 25 10 10 1200
100 25 10 10 1400
100 25 10 10 3580
100 25 10 10 6620
100 25 10 10 2900
100 25 10 10 1020
100 25 10 10 4220
100 25 10 10 2600
100 25 10 10 1900
100 25 10 10 4240
100 25 10 10 1080
100 25 10 10 4240
100 25 10 10 1020
100 25 10 10 2840
100 25 10 10 3480
100 25 10 10 1700
100 25 10 10 3900
100 25 10 10 1080
100 25 10 10 1040
100 25 10 10 2920
100 25 10 10 1020
100 25 10 10 2560
100 25 10 10 3560
100 25 10 10 4060
100 25 10 10 6220
100 25 10 10 1720
100 25 10 10 1440
100 25 10 10 1600
100 25 10 10 4120
100 25 10 10 2000
100 25 10 10 5800
100 25 20 10 1160
100 25 20 10 1540
100 25 20 10 7620
100 25 20 10 2160
100 25 20 10 1140
100 25 20 10 1200
100 25 20 10 2180
100 25 20 10 1140
100 25 20 10 2160
100 25 20 10 3840
100 25 20 10 1800
100 25 20 10 3640
100 25 20 10 3560
100 25 20 10 4320
100 25 20 10 2720
100 25 20 10 2620
100 25 20 10 3920
100 25 20 10 1020
100 25 20 10 1180
100 25 20 10 2180
100 25 20 10 4020
100 25 20 10 1680
100 25 20 10 3260
100 25 20 10 6280
100 25 20 10 2020
100 25 20 10 2040
100 25 20 10 3820
100 25 20 10 3220
100 25 20 10 3640
100 25 20 10 2820
100 25 20 10 980
100 25 20 10 2460
100 25 20 10 8740
100 25 20 10 2340
100 25 20 10 1020
100 25 20 10 2360
100 25 20 10 1180
100 25 20 10 4100
100 25 20 10 2700
100 25 20 10 1540
100 25 20 10 1700
100 25 20 10 2240
100 25 20 10 3260
100 25 20 10 4540
100 25 20 10 960
100 25 20 10 8140
100 25 20 10 2600
100 25 20 10 4780
100 25 20 10 1700
100 25 20 10 3960
100 25 20 10 4280
100 25 20 10 3020
100 25 20 10 2260
100 25 20 10 2880
100 25 20 10 880
100 25 20 10 2160
100 25 20 10 1040
100 25 20 10 3520
100 25 20 10 4660
100 25 20 10 4320
100 25 20 10 2400
100 25 20 10 2900
100 25 20 10 1960
100 25 20 10 1200
100 25 20 10 3620
100 25 20 10 4360
100 25 20 10 4340
100 25 20 10 2760
100 25 20 10 3680
100 25 20 10 820
100 25 20 10 2400
100 25 20 10 1480
100 25 20 10 3160
100 25 20 10 1220
100 25 20 10 2940
100 25 20 10 3080
100 25 20 10 2520
100 25 20 10 6900
100 25 20 10 1060
100 25 20 10 1240
100 25 20 10 1140
100 25 20 10 1920
100 25 20 10 4400
100 25 20 10 5680
100 25 20 10 1700
100 25 20 10 1880
100 25 20 10 1360
100 25 20 10 980
100 25 20 10 2600
100 25 20 10 2140
100 25 30 10 1540
100 25 30 10 2140
100 25 30 10 2360
100 25 30 10 2580
100 25 30 10 2040
100 25 30 10 1940
100 25 30 10 1540
100 25 30 10 2980
100 25 30 10 2760
100 25 30 10 940
100 25 30 10 980
100 25 30 10 2700
100 25 30 10 2780
100 25 30 10 3980
100 25 30 10 2480
100 25 30 10 1280
100 25 30 10 8440
100 25 30 10 3240
100 25 30 10 4220
100 25 30 10 3200
100 25 30 10 2960
100 25 30 10 3440
100 25 30 10 3860
100 25 30 10 1700
100 25 30 10 1660
100 25 30 10 4540
100 25 30 10 5580
100 25 30 10 3000
100 25 30 10 7180
100 25 30 10 3700
100 25 30 10 560
100 25 30 10 2380
100 25 30 10 2440
100 25 30 10 5140
100 25 30 10 2180
100 25 30 10 700
100 25 30 10 2180
100 25 30 10 5120
100 25 30 10 5140
100 25 30 10 1940
100 25 30 10 840
100 25 30 10 3040
100 25 30 10 4000
100 25 30 10 1700
100 25 30 10 7600
100 25 30 10 2340
100 25 30 10 820
100 25 30 10 1200
100 25 30 10 6480
100 25 30 10 6560
100 25 30 10 1560
100 25 30 10 3900
100 25 30 10 2280
100 25 30 10 4920
100 25 30 10 2420
100 25 30 10 2780
100 25 30 10 1640
100 25 30 10 4820
100 25 30 10 3020
100 25 30 10 880
100 25 30 10 2920
100 25 30 10 2860
100 25 30 10 1080
100 25 30 10 2400
100 25 30 10 2580
100 25 30 10 640
100 25 30 10 7100
100 25 30 10 2180
100 25 30 10 4780
100 25 30 10 3960
100 25 30 10 1840
100 25 30 10 3620
100 25 30 10 2720
100 25 30 10 1580
100 25 30 10 3360
100 25 30 10 3280
100 25 30 10 2160
100 25 30 10 2860
100 25 30 10 2680
100 25 30 10 3300
100 25 30 10 3120
100 25 30 10 2720
100 25 30 10 3020
100 25 30 10 5100
100 25 30 10 2760
100 25 30 10 5240
100 25 30 10 8380
100 25 30 10 5040
100 25 30 10 1000
100 25 30 10 4320
100 25 40 10 1840
100 25 40 10 5720
100 25 40 10 1680
100 25 40 10 1540
100 25 40 10 5000
100 25 40 10 1640
100 25 40 10 2300
100 25 40 10 1560
100 25 40 10 1800
100 25 40 10 4720
100 25 40 10 1700
100 25 40 10 2360
100 25 40 10 3520
100 25 40 10 1760
100 25 40 10 1100
100 25 40 10 3460
100 25 40 10 12860
100 25 40 10 1920
100 25 40 10 1820
100 25 40 10 5020
100 25 40 10 3740
100 25 40 10 2200
100 25 40 10 2120
100 25 40 10 1520
100 25 40 10 6100
100 25 40 10 2100
100 25 40 10 1420
100 25 40 10 3020
100 25 40 10 1960
100 25 40 10 2800
100 25 40 10 1560
100 25 40 10 3880
100 25 40 10 2440
100 25 40 10 4740
100 25 40 10 2860
100 25 40 10 3400
100 25 40 10 7300
100 25 40 10 1940
100 25 40 10 1280
100 25 40 10 1640
100 25 40 10 2300
100 25 40 10 1140
100 25 40 10 3040
100 25 40 10 3000
100 25 40 10 4680
100 25 40 10 1380
100 25 40 10 2400
100 25 40 10 3240
100 25 40 10 1620
100 25 40 10 4180
100 25 40 10 2000
100 25 40 10 1580
100 25 40 10 3680
100 25 40 10 2340
100 25 40 10 1580
100 25 40 10 1460
100 25 40 10 1000
100 25 40 10 5900
100 25 40 10 2180
100 25 40 10 2860
100 25 40 10 3960
100 25 40 10 1260
100 25 40 10 3220
100 25 40 10 6440
100 25 40 10 3760
100 25 40 10 1260
100 25 40 10 3300
100 25 40 10 7440
100 25 40 10 2300
100 25 40 10 1200
100 25 40 10 3360
100 25 40 10 4380
100 25 40 10 2380
100 25 40 10 5720
100 25 40 10 5680
100 25 40 10 4740
100 25 40 10 3880
100 25 40 10 1360
100 25 40 10 3360
100 25 40 10 5320
100 25 40 10 4800
100 25 40 10 12180
100 25 40 10 1640
100 25 40 10 2060
100 25 40 10 3280
100 25 40 10 1700
100 25 40 10 3960
100 25 40 10 1500
100 25 40 10 2360
100 25 40 10 8240
100 25 50 10 4100
100 25 50 10 2480
100 25 50 10 4900
100 25 50 10 2000
100 25 50 10 3820
100 25 50 10 2720
100 25 50 10 1900
100 25 50 10 2300
100 25 50 10 6860
100 25 50 10 2440
100 25 50 10 2740
100 25 50 10 6000
100 25 50 10 3300
100 25 50 10 1720
100 25 50 10 9580
100 25 50 10 1700
100 25 50 10 6120
100 25 50 10 5660
100 25 50 10 4940
100 25 50 10 780
100 25 50 10 6800
100 25 50 10 6900
100 25 50 10 2720
100 25 50 10 840
100 25 50 10 2480
100 25 50 10 7340
100 25 50 10 960
100 25 50 10 3000
100 25 50 10 1080
100 25 50 10 1500
100 25 50 10 2760
100 25 50 10 3000
100 25 50 10 800
100 25 50 10 2740
100 25 50 10 1020
100 25 50 10 1900
100 25 50 10 3420
100 25 50 10 3800
100 25 50 10 2060
100 25 50 10 2820
